Obstacle_Designator    ,AIXM_NAME  ,Obstacle Type (AIXM),Latitude(N),Longitude(E),Elevation at Top (FT)        ,Height (FT),Lighting,Color of Lighting,Group
LTBJ197,BUILDING,BUILDING,381827.321N,0270825.235E,545.79,82.00,NO INFO,,NO
LTBJ198,BUILDING,BUILDING,381827.442N,0270825.856E,541.87,80.09,NO INFO,,NO
LTBJ199,BUILDING,BUILDING,381824.502N,0270809.935E,590.85,45.60,NO INFO,,NO
LTBJ200,BUILDING,BUILDING,381825.108N,0270812.946E,597.79,46.89,NO INFO,,NO
LTBJ201,BUILDING,BUILDING,381828.146N,0270828.896E,542.00,88.21,NO INFO,,NO
LTBJ202,BUILDING,BUILDING,381758.366N,0270754.859E,578.96,10.50,NO INFO,,NO
LTBJ203,BUILDING,BUILDING,381753.401N,0270728.692E,671.11,9.84,NO INFO,,NO
LTBJ204,BUILDING,BUILDING,381755.186N,0270738.838E,568.90,9.84,NO INFO,,NO
LTBJ205,BUILDING,BUILDING,381825.099N,0270811.014E,593.98,43.91,NO INFO,,NO
LTBJ206,BUILDING,BUILDING,381757.387N,0270751.513E,586.14,12.73,NO INFO,,NO
LTBJ207,BUILDING,BUILDING,381757.403N,0270752.251E,588.61,11.79,NO INFO,,NO
LTBJ208,BUILDING,BUILDING,381757.897N,0270755.109E,577.21,12.15,NO INFO,,NO
LTBJ209,BUILDING,BUILDING,381754.585N,0270738.895E,561.95,9.84,NO INFO,,NO
LTBJ210,BUILDING,BUILDING,381824.030N,0270802.210E,596.83,13.03,NO INFO,,NO
LTBJ211,BUILDING,BUILDING,381828.370N,0270824.193E,549.83,83.65,NO INFO,,NO
LTBJ212,BUILDING,BUILDING,381828.646N,0270825.436E,549.12,88.45,NO INFO,,NO
LTBJ213,BUILDING,BUILDING,381757.933N,0270759.115E,542.63,10.71,NO INFO,,NO
LTBJ214,BUILDING,BUILDING,381756.909N,0270755.320E,565.59,11.07,NO INFO,,NO
LTBJ215,BUILDING,BUILDING,381751.851N,0270729.858E,666.00,9.84,NO INFO,,NO
LTBJ216,BUILDING,BUILDING,381829.078N,0270823.910E,548.83,83.46,NO INFO,,NO
LTBJ217,BUILDING,BUILDING,381752.798N,0270735.182E,585.31,9.84,NO INFO,,NO
LTBJ218,BUILDING,BUILDING,381824.692N,0270800.087E,599.93,10.50,NO INFO,,NO
LTBJ219,BUILDING,BUILDING,381752.801N,0270735.907E,576.91,9.84,NO INFO,,NO
LTBJ220,BUILDING,BUILDING,381756.333N,0270755.290E,561.15,14.32,NO INFO,,NO
LTBJ221,BUILDING,BUILDING,381756.333N,0270755.290E,561.15,14.32,NO INFO,,NO
LTBJ222,BUILDING,BUILDING,381755.467N,0270751.376E,577.87,11.44,NO INFO,,NO
LTBJ223,BUILDING,BUILDING,381751.491N,0270730.378E,666.00,9.84,NO INFO,,NO
LTBJ224,BUILDING,BUILDING,381752.381N,0270736.888E,571.44,9.84,NO INFO,,NO
LTBJ225,BUILDING,BUILDING,381751.897N,0270734.950E,599.96,9.84,NO INFO,,NO
LTBJ226,BUILDING,BUILDING,381755.706N,0270755.446E,556.32,10.20,NO INFO,,NO
LTBJ227,BUILDING,BUILDING,381751.046N,0270730.722E,665.10,9.84,NO INFO,,NO
LTBJ228,BUILDING,BUILDING,381830.519N,0270825.285E,545.07,88.77,NO INFO,,NO
LTBJ229,BUILDING,BUILDING,381755.196N,0270754.591E,544.21,10.33,NO INFO,,NO
LTBJ230,BUILDING,BUILDING,381750.635N,0270730.945E,662.39,9.84,NO INFO,,NO
LTBJ231,BUILDING,BUILDING,381749.611N,0270725.883E,667.45,9.84,NO INFO,,NO
LTBJ232,BUILDING,BUILDING,381830.518N,0270823.462E,549.18,86.99,NO INFO,,NO
LTBJ233,BUILDING,BUILDING,381751.374N,0270735.842E,593.17,9.84,NO INFO,,NO
LTBJ234,BUILDING,BUILDING,381754.157N,0270751.630E,559.04,10.50,NO INFO,,NO
LTBJ235,BUILDING,BUILDING,381750.160N,0270731.172E,657.71,9.84,NO INFO,,NO
LTBJ236,BUILDING,BUILDING,381831.089N,0270824.088E,545.56,87.40,NO INFO,,NO
LTBJ237,BUILDING,BUILDING,381753.917N,0270751.604E,560.94,10.93,NO INFO,,NO
